Geologycal_age,Domain,Rock_type,Country,Age  (Ma),error (Ma),Longitude (X),Latitude (Y),SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,LOI,SUM (no water),Nb_xrf,Zr_xrf,Y_xrf,Sr_xrf,Rb_xrf,Pb_xrf,Ga_xrf,Zn_xrf,Cu_xrf,Ni_xrf,Co_xrf,Cr_xrf,V_xrf,Ba_xrf,Sc_xrf,La/Sm,La/Yb,Sr/Y,Sm/Yb,Dy/Yb
Quaternary,Arequipa,dacite,Peru,,,-70.609,-16.741,65.4,0.68,16,4.27,0.06,1.65,3.62,4.35,3.25,0.21,,,99.49,6,179,11,667,86,21,23,70,55,13,15,12,95,1044,7,7.1,47.7,60.6,6.7,3
Quaternary,Arequipa,andesite,Peru,,,-70.604,-16.75,59.7,1.09,16.9,5.95,0.08,2.5,5.03,4.21,2.38,0.27,,,98.11,6,182,12,825,48,18,20,88,49,20,17,31,133,989,13,5.4,25.9,68.8,4.8,2.7
Quaternary,Arequipa,andesite,Peru,,,-70.604,-16.75,59.9,1.03,17.1,5.9,0.07,2.06,4.89,4.33,2.49,0.31,,,98.07,7,180,12,820,53,17,22,83,68,19,19,22,136,969,14,4.7,22.2,68.3,4.7,2.7
Quaternary,Arequipa,dacite,Peru,,,-70.592,-16.763,64.7,0.68,15.9,4.16,0.06,1.74,3.61,4.32,3.29,0.22,,,98.67,6,180,10,678,84,19,20,68,51,15,17,17,94,1115,7,7.4,53,67.8,7.1,2.8
Quaternary,Arequipa,dacite,Peru,,,-70.592,-16.763,65.5,0.67,16,3.94,0.06,1.49,3.38,4.42,3.38,0.22,,,99.05,6,191,9,705,85,18,22,69,53,13,10,12,81,1165,6,7.1,57.4,78.3,8,3.3
Quaternary,Arequipa,dacite,Peru,,,-70.603,-16.765,65.6,0.68,16.1,3.91,0.06,1.79,3.55,4.38,3.22,0.21,,,99.49,6,167,12,705,80,22,19,76,27,22,9,25,91,1103,9,7.3,38.2,58.8,5.2,2.5
Quaternary,Arequipa,dacite,Peru,,,-70.603,-16.765,65.6,0.68,16.1,3.91,0.06,1.79,3.55,4.38,3.22,0.21,,,99.49,6,167,12,705,80,,,76,27,22,9,25,91,1103,9,7.3,38.2,58.8,5.2,2.5
Quaternary,Arequipa,dacite,Peru,,,-70.61,-16.789,65.1,0.63,15.9,4.03,0.06,1.65,3.58,4.31,3.21,0.2,,,98.66,8,154,10,665,85,21,20,64,41,16,9,15,92,1006,9,7.1,44.3,66.5,6.3,3
Quaternary,Arequipa,dacite,Peru,,,-70.61,-16.789,65.2,0.63,16,3.99,0.06,1.6,3.6,4.37,3.15,0.2,,,98.79,6,151,10,673,85,19,21,61,41,16,12,12,89,973,9,7.3,44.6,67.3,6.2,3.1
Quaternary,Arequipa,dacite,Peru,,,-70.619,-16.792,64.5,0.61,16.3,3.87,0.06,1.59,3.56,4.37,3.08,0.19,,,98.13,5,156,10,681,82,20,21,62,53,16,9,14,85,973,8,6.9,42.3,68.1,6.1,3
Quaternary,Arequipa,andesite,Peru,0.7,0.02,-70.388,-17.017,55.3,1.31,16.8,8.31,0.12,3.94,7.17,3.7,2.27,0.36,,,99.28,8,167,27,892,61,14,22,91,71,5,21,25,208,824,17,4.8,14.3,33,3,2.2
Quaternary,Arequipa,andesite,Peru,,,-70.287,-17.033,62,0.67,16.7,4.74,0.08,1.86,3.65,3.35,3.55,0.19,,,96.78,10,209,17,525,131,21,20,70,23,13,14,20,98,885,14,5.7,14.3,30.9,2.5,1.9
Quaternary,Arequipa,dacite,Peru,,,-70.349,-17.036,64.7,0.79,16,4.51,0.06,1.81,3.9,4.43,3.32,0.28,,,99.81,5,192,10,784,86,17,19,75,50,13,11,16,97,1217,8,7.2,54.3,78.4,7.5,3.1
Quaternary,Arequipa,dacite,Peru,0.7,0.02,-70.336,-17.05,65.2,0.81,15.8,4.28,0.06,1.64,3.6,4.37,3.51,0.31,,,99.58,8,214,10,784,92,20,23,74,31,12,11,17,90,1276,8,7.7,58.7,78.4,7.7,3.1
Quaternary,Arequipa,andesite,Peru,,,-70.254,-17.151,63,0.63,16,4.85,0.09,1.89,4.33,3.73,3.03,0.21,,,97.76,9,155,15,569,101,18,19,69,17,6,12,14,94,909,8,7.3,26.1,37.9,3.6,2.2
