Ba,Ce,Cr,Cs,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Pr,Rb,Sm,Sn,Sr,Ta,Tb,Th,Tm,U,V,W,Y,Yb,Zr,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Total,Ag,As,Cd,Co,Cu,Li,Mo,Ni,Pb,Sc,Tl,Zn,AreaID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,63.9,30,1.09,2.45,1.12,1.22,17.8,3.42,5.2,0.42,31.4,0.15,8.8,29,7.56,51.9,4.83,1,791,0.6,0.49,5.2,0.16,1.8,70,1,13.2,1.13,203,66.2,15.4,4.19,2.1,1.3,5.46,2.8,0.003,0.6,0.04,0.27,0.09,0.13,3.4,101.85,0.5,5,0.5,6,8,20,1,15,18,6,10,39,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.3,22.1,10,2.08,2.57,1.87,0.27,15.9,2.19,2.2,0.59,11.2,0.32,26.7,9.1,2.48,227,2.23,1,26,4,0.4,28.2,0.29,10.6,6,4,16.3,2.22,35,76,12.5,0.95,0.3,0.1,3.03,6.2,0.002,0.08,0.02,0.01,0.01,0.01,0.3,99.39,0.5,5,0.5,1,1,10,1,1,36,1,10,19,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,29.2,10,3.01,4.82,3.2,0.79,16.7,4.37,3.9,0.89,12,0.42,4.2,16.1,3.94,58.4,4.12,1,348,0.5,0.69,7.7,0.44,1.7,167,1,26.7,2.92,129,60.4,16.5,7.43,6.1,2.8,3.24,2.3,0.002,0.57,0.14,0.13,0.04,0.08,1.1,100.82,0.5,6,0.5,17,50,10,1,4,9,18,10,71,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,26.9,30,1.7,2.93,1.72,0.76,18.1,2.91,3.4,0.53,12.6,0.26,4.2,13.6,3.59,45.6,2.9,1,467,0.4,0.42,3.9,0.25,1,70,1,16.6,1.79,121,64.4,16.1,6.87,4.8,1.6,4.16,1.7,0.004,0.41,0.14,0.16,0.05,0.08,1,101.53,0.5,5,0.5,9,18,20,1,8,6,7,10,71,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,24.6,10,1.56,1.16,0.68,0.53,14.1,1.3,2.4,0.25,13.5,0.15,3.5,8.7,2.58,63.5,1.48,1,207,0.4,0.19,7.2,0.11,1.3,14,1,6.9,0.86,85,75,12.9,3.97,1.9,0.4,3.88,2.6,0.002,0.2,0.05,0.04,0.02,0.12,0.4,101.41,0.5,5,0.5,3,8,10,1,3,16,2,10,42,subduction
