SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5
63.6,0.81,16.2,4.38,0.06,1.58,3.89,4.58,3.21,0.36
65.3,0.63,16.4,3.99,0.06,1.55,3.5,4.46,2.9,0.18
64.5,0.68,16.1,3.83,0.06,1.47,3.67,4.71,3.19,0.28
53.39,1.81,16.7,8.42,0.09,4.27,6.88,4.23,2.26,0.75
62.94,0.98,16.19,5.21,0.07,2.52,4.55,4.28,2.96,0.34
64.93,0.72,16.54,4.07,0.05,1.61,3.86,4.38,3.26,0.23
62.14,0.71,17.34,4.87,0.07,2.21,4.97,2.99,3.51,0.21
62.14,0.75,16.9,5.26,0.08,2.41,4.92,3.33,3.49,0.2
65.03,0.86,16.35,4.49,0.06,1.86,4.09,4.38,3.24,0.28
54.68,1.81,17.01,8.19,0.09,3.61,6.51,4.3,2.37,0.74
61.6,0.95,16.5,5.32,0.08,2.43,4.67,4.38,2.52,0.29
62.4,0.9,16.1,5.13,0.07,2.49,4.63,4.39,2.82,0.31
64.8,0.78,16.1,4.18,0.06,1.7,3.89,4.64,3.03,0.27
64.9,0.77,16.2,4.15,0.06,1.65,3.87,4.46,3.13,0.27
64.5,0.74,15.7,4.07,0.06,1.7,3.7,4.32,3.18,0.29
64.8,0.76,15.9,4.19,0.06,1.85,3.9,4.57,3.16,0.28
64.4,0.75,16,4.23,0.06,1.82,3.99,4.46,3.2,0.3
63.4,0.61,15.3,3.39,0.05,1.28,3.31,4.47,3.06,0.21
72.9,0.26,13.1,1.59,0.04,0.42,1.29,3.81,4.35,0.09
66.6,0.59,15.8,3.36,0.05,1.27,3.14,4.35,3.77,0.23
60.61,1.11,16.68,5.85,0.08,2.21,4.63,4.46,3.35,0.43
60.1,1.13,16.54,6.08,0.08,2.39,4.84,4.38,3.23,0.43
59.27,1.31,16.15,2.5,0.08,3.17,5.49,4.41,2.9,0.47
61.88,1.07,16.56,2.34,0.08,2.24,4.8,4.77,3.12,0.41
66.02,0.66,16.01,3.94,0.06,1.29,3.34,4.2,4.02,0.25
58.7,1.26,16.2,6.95,0.09,3.21,5.56,4.2,2.94,0.46
63.34,0.99,15.93,5.41,0.07,2.44,4.49,4.5,3.62,0.37
66.01,0.66,16.33,4.03,0.07,1.35,3.57,4.17,3.82,0.26
59.16,1.22,16.13,6.68,0.09,3.17,5.57,4.22,3.08,0.48
62.2,0.94,15.5,5.14,0.07,2.3,4.22,4.24,3.51,0.35
58.73,1.29,16.28,6.57,0.09,3.09,5.45,4.41,2.97,0.49
59.7,1.15,15.7,6.2,0.08,2.95,5.17,4.2,3.15,0.44
56.35,1.46,16.54,3.23,0.1,4.17,6.46,4.15,2.4,0.48
56.39,1.43,16.4,3.68,0.1,4.32,6.6,4.41,2.39,0.47
59.96,1.15,16.31,6.45,0.09,2.89,5.17,4.28,3,0.41
56.28,1.44,16.48,7.97,0.09,4.2,6.71,4.15,2.46,0.48
