SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5
56.42,1.51,16.06,3.11,0.1,4.13,6.16,4.24,2.58,0.52
61.78,0.99,15.28,3.82,0.08,2.58,4.7,4.75,3.3,0.54
55.73,1.05,17.34,2.49,0.08,4.05,7.24,3.89,1.97,0.25
55.88,1,17.51,3.12,0.12,3.77,6.99,3.72,2.26,0.35
50.81,0.97,19.56,3.35,0.13,3.02,6.98,4.98,2.84,0.67
65.75,0.61,14.97,3.43,0.05,1.47,2.91,3.92,4.4,0.24
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
52.45,0.77,19.77,2.1,0.18,1.36,3.04,8.47,5.48,0.19
59.85,0.98,15.95,3.31,0.09,3.37,4.87,3.91,2.78,0.36
,,,,,,,,,
65.56,0.88,15.88,4.11,0.04,1.33,3.41,4.15,3.89,0.32
51.06,0.93,15.47,3.05,0.15,9.06,9.17,2.67,1.19,0.19
53.4,0.99,15.35,2.05,0.14,7.94,7.02,3.01,1.86,0.27
61.7,0.61,17,5.37,0.19,1.27,5.3,3.89,2.72,0.28
53.5,0.63,17.3,6.48,0.27,1.76,8.6,3.99,3.59,0.28
51.5,0.54,15.3,4.92,0.21,1.15,10.26,3.69,3.17,0.24
64.72,,16.02,,,1.69,,,,
67.9,,15.12,,,1.24,,,,
57.67,,18.12,,,2.57,,,,
61.19,0.66,16.83,3.09,0.14,2.38,4.92,3.37,2.37,0.17
63.65,0.75,15.6,2.44,0.11,2.38,4.35,3.5,3.36,0.12
65.05,0.66,15.35,2.49,0.06,1.81,4,3.19,3.7,0.11
62.65,0.46,17.24,2.74,0.11,1.61,5.53,3.21,2.63,0.34
60.27,0.59,16.98,3.11,0.19,2.96,6.35,3.18,2.17,0.16
63.67,0.48,16.56,2.54,0.13,2,5.54,3.35,2.25,0.15
66,0.42,16.14,2.22,0.12,1.65,4.62,3.1,2.69,0.13
53.2,0.86,18.9,4.36,0.19,3.61,9.19,2.52,1.37,0.25
61.12,0.92,15.78,3.19,0.13,2.35,5.05,3.88,3.21,0.2
55.49,1.09,16.68,4.12,0.14,3.57,7.55,3.46,2.27,0.32
66.25,0.55,15.91,2.06,0.1,1.57,3.74,3.84,3.11,0.22
59.72,0.74,17.53,3.03,0.15,2.69,5.93,4.19,1.85,0.22
57.3,1.19,17.6,3.6,0.18,2.97,7.13,3.17,2,0.21
53.85,1.19,18.85,3.93,0.09,3.05,6.24,4.18,2.82,0.76
67.64,0.32,15.34,2.03,0.15,1.57,2.85,4.09,3.19,0.12
66.9,0.5,14.9,4.27,0.08,1.57,3.27,2.98,4.46,0.11
55.9,0.85,17,8.19,0.14,4.38,7.05,4.11,1.56,0.19
66.4,0.37,16.58,4,0.15,1.19,5.23,3.56,1.9,0.15
,,,,,,,,,
61.7,0.47,17.8,4.72,0.05,1.38,3.54,5.19,4.31,0.2
65.65,0.59,16.22,1.97,0.07,1.61,4.12,3.97,2.6,0.13
57.7,0.8,16.11,1.8,0.17,4.75,6.97,2.93,2.13,0.1
59.05,0.82,16.13,1.91,0.14,3.8,6.19,2.91,2.48,0.1
71.71,0.39,13.37,1.59,0.03,0.71,1.47,2.44,6.05,0.04
52.72,1.17,16.89,4.51,0.16,4.72,7.19,3.34,2.02,0.2
63.19,0.75,15.57,1.91,0.17,2.3,4.33,3.31,2.87,0.11
58.1,0.84,16.85,2.97,0.13,3.04,5.74,3.5,2.41,0.02
55.24,0.95,18.25,5.22,0.14,3.73,7.2,3.46,1.14,0.14
64.37,0.26,17.63,0.27,0.17,0.39,1.41,5.51,6.4,0.06
67.23,0.48,15.27,1.92,0.08,1.52,3.1,3.78,3.65,0.01
63.96,0.79,15.13,1.54,0.11,2.38,3.26,2.21,3.5,0.11
65.39,0.81,15.81,1.92,0.04,2.26,2.68,2.65,3.67,0.1
56.53,0.88,17.57,3.19,0.15,3.46,6.23,3.5,2.28,0.18
56.67,0.7,17.83,2.69,0.13,4.06,6.83,3.2,1.6,0.08
63.88,0.8,15.84,3.19,0.1,1.98,4.26,3.55,3.1,0.14
58.47,0.72,16.67,2.53,0.11,3.68,6.77,3.19,1.82,0.1
45.24,1.03,20.71,4.69,0.17,5.12,12.63,1.77,0.38,0.06
62.97,0.64,15.95,2.21,0.1,2.64,5.14,3.24,2.62,0.09
62.37,0.62,16.63,1.85,0.09,2.63,5.08,3.68,2.61,0.11
74.25,0.27,12.75,1.2,0.03,0.41,0.46,2.96,5.88,0.01
63.95,0.68,15.97,2.3,0.01,1.58,3.94,3.68,3.34,0.14
63.16,0.79,14.86,2.4,0.1,2.3,4.37,3.05,3.8,0.15
58.43,1.03,16.18,2.31,0.13,3.38,6.57,3.06,2.59,0.2
64,0.76,15.06,2.04,0.08,2.5,4.45,3.1,3.62,0.1
67.15,0.53,14.38,1.64,0.08,1.74,2.77,2.65,4.54,0.09
58.99,0.8,17.8,2.58,0.15,2.64,5.81,3.78,1.61,0.18
63.69,0.77,15.05,1.98,0.08,2.46,4.42,3.06,3.67,0.1
67.22,0.54,14.58,1.38,0.09,1.63,3.01,2.9,4.28,0.09
64.91,0.47,15.37,3.52,0.08,2.02,4.1,3.62,3.03,0.01
61.07,0.48,17.24,3.5,0.13,1.87,5.44,3.86,2.29,0.19
53.1,0.98,16.99,4.5,0.14,5.14,7.12,3.84,1.37,0.17
60.7,0.87,15.61,2.02,0.11,2.85,4.83,3.37,3.13,0.15
60.33,0.89,15.6,2.21,0.1,2.97,5.4,3.08,3.1,0.16
63.45,0.6,16.4,2.37,0.09,2.33,5.15,3.43,2.31,0.09
63.58,0.59,16.04,2.12,0.09,2.28,4.77,3.33,2.61,0.08
57.53,0.85,16.7,3.54,0.13,3.39,6.79,3.34,2.04,0.18
54.08,0.73,20.45,2.07,0.13,1.92,6.65,3.86,4.53,0.48
58.32,0.57,20.03,1.61,0.14,0.92,4.25,3.44,7.49,0.32
49.52,1.03,18.89,2.63,0.21,4,8.8,3.46,2.28,0.8
44.49,1.36,18.05,5.11,0.28,5.08,11.15,2.4,2.31,0.96
64.27,0.38,16.54,2.2,0.13,0.88,2.8,4.06,5.52,0.11
73.47,0.28,13.53,1.21,0.03,0.55,1.63,3.88,3.47,0.03
72.54,0.32,13.98,1.29,0.04,0.74,2.21,3.83,3.34,0.05
77.02,0.14,11.86,0.15,0.03,0.08,0.48,2.62,5.54,0
58.89,0.71,17.76,2.99,0.13,2.27,4.95,3.37,4.19,0.21
54.95,0.7,18.11,3.44,0.18,3.2,7.43,3.45,2.23,0.24
53.03,0.91,17.49,4.55,0.2,4.24,7.8,3.55,1.99,0.26
62.28,0.61,16.17,2.42,0.1,2.36,5.21,3.29,2.35,0.09
60.67,0.44,18.05,2.26,0.15,1.1,3.62,4.54,5.18,0.16
59.86,0.87,16.01,4.67,0.12,3.18,3.98,3.48,2.95,0.19
63.16,0.61,17.22,3.19,0.07,2.37,3.93,4.61,3.38,0.17
61.13,0.9,15.89,3.25,0.12,3.16,5.32,3.35,2.92,0.2
59.25,1,16.44,4.18,0.11,3.18,5.46,3.8,2.77,0.23
62.18,0.85,15.93,2.39,0.13,2.9,4.99,3.68,3.14,0.19
64.03,0.48,16.95,2.61,0.12,1.92,3.83,4.16,2.69,0.21
64.12,0.52,16.77,2.77,0.11,1.91,3.39,3.69,2.71,0.21
63.94,0.47,16.76,1.52,0.11,1.85,3.25,4.43,2.66,0.21
61.1,0.9,16.01,3.37,0.1,2.91,5.06,3.73,2.86,0.21
67.41,0.58,14.76,2.35,0.06,1.61,1.22,3.51,4.54,0.13
59.25,0.9,17.13,3.29,0.15,3.12,5.84,3.88,2.4,0.22
68.04,0.52,15.06,1.96,0.08,1.32,2.82,3.76,4.08,0.15
55.72,0.69,20.57,3.48,0.08,3.05,6.26,5.01,1.88,0.3
62.46,0.79,15.48,3.68,0.12,2.95,4.52,4.05,3.42,0.17
68.48,0.33,16.88,1.51,0.08,0.32,2.52,4.95,3.21,0.2
61.25,0.79,16.17,3.71,0.12,2.97,4.99,3.88,3.02,0.19
58.06,0.86,19.9,4.52,0.18,1.48,6.41,4.2,2.13,0.32
59.76,0.86,16.87,3.34,0.12,3.17,5.61,3.92,2.54,0.23
74.52,0.18,14.04,0.1,0.01,0.15,0.25,3.67,4.77,0.03
75.04,0.2,13.37,0.9,0.01,0.7,0.06,1.84,5.21,0.04
61.18,0.9,15.99,3.17,0.11,3.12,5.28,3.41,3.16,0.19
56.48,0.94,16.89,3.86,0.19,3.78,6.18,3.68,2.9,0.21
58.31,0.95,19.3,3.01,0.17,2.4,6.58,4.76,1.85,0.32
